,fitness,image_loc
0,0.4992448091506958,progression0.jpg
1,0.3025053143501282,progression1.jpg
2,0.4382927715778351,progression2.jpg
3,0.4382927715778351,progression3.jpg
4,0.6179561018943787,progression4.jpg
5,0.571104884147644,progression5.jpg
6,0.6425126791000366,progression6.jpg
7,0.7157570123672485,progression7.jpg
8,0.8264786601066589,progression8.jpg
9,0.8853666186332703,progression9.jpg
10,0.9334527850151062,progression10.jpg
11,0.9656198620796204,progression11.jpg
12,0.981502890586853,progression12.jpg
13,0.9880708456039429,progression13.jpg
14,0.9927634596824646,progression14.jpg
